Timestamp,Trade High,Trade Close,Trade Low,Trade Open
28/08/2012,1363.01,1362.03,1356.18,1360.69
27/08/2012,1362.67,1360.69,1356.85,1358.01
24/08/2012,1365,1358.01,1354.25,1364.99
23/08/2012,1372.97,1364.99,1356.92,1361.6
22/08/2012,1369.73,1361.63,1358.46,1362.85
21/08/2012,1365.23,1362.85,1354.14,1354.14
20/08/2012,1360.08,1354.14,1351.58,1356.15
17/08/2012,1362.42,1355.84,1355.53,1355.97
16/08/2012,1357.49,1355.97,1349.7,1353.97
15/08/2012,1355.21,1353.97,1348.03,1350.43
14/08/2012,1357.21,1350.43,1348.46,1349.26
13/08/2012,1351.58,1349.26,1341.3,1348.75
10/08/2012,1352.53,1348.71,1343.54,1350.41
9/08/2012,1363.64,1350.38,1348.37,1362.71
8/08/2012,1365.5,1362.71,1356.49,1363.54
7/08/2012,1366.38,1363.57,1356.79,1361.04
6/08/2012,1364.66,1361.04,1353.77,1353.79
3/08/2012,1356.47,1353.79,1333.71,1336.15
2/08/2012,1354.69,1336.15,1332.81,1342.18
1/08/2012,1346.66,1342.13,1336.05,1341.12
31/07/2012,1346.72,1341.12,1334.59,1337.39
30/07/2012,1340.39,1337.37,1333.47,1333.47
27/07/2012,1335.45,1333.49,1321.62,1321.62
26/07/2012,1322.24,1321.58,1296.94,1297.3
25/07/2012,1302.23,1297.02,1281.19,1289.95
24/07/2012,1295.03,1289.95,1286.04,1289.88
23/07/2012,1311.89,1289.9,1284.22,1311.89
20/07/2012,1321.06,1311.72,1308.01,1320.29
19/07/2012,1321.81,1320.29,1307.31,1307.32
18/07/2012,1309.82,1307.29,1299.95,1299.95
17/07/2012,1307.07,1299.93,1295.97,1296.12
16/07/2012,1298.07,1296.12,1286.5,1288.52
13/07/2012,1292.69,1288.52,1267.73,1267.77
12/07/2012,1283.77,1267.75,1265.44,1282.2
11/07/2012,1286.99,1282.18,1274.16,1276.77
10/07/2012,1284.68,1276.79,1272.93,1273.57
9/07/2012,1281.07,1273.56,1268.32,1281
6/07/2012,1287.05,1281,1277.68,1286.42
5/07/2012,1294.44,1286.44,1281.34,1294.25
3/07/2012,1294.25,1292.74,1286.27,1290.4
2/07/2012,1291.58,1290.4,1275.97,1275.97
29/06/2012,1275.95,1275.95,1242.18,1243.07
28/06/2012,1259.47,1243.05,1240.15,1249.11
27/06/2012,1251.58,1249.11,1233.38,1233.38
26/06/2012,1237.12,1233.35,1227.37,1228.62
25/06/2012,1238.77,1228.62,1226.78,1231.32
22/06/2012,1240.6,1231.3,1228.42,1240.55
21/06/2012,1256.13,1240.55,1233.51,1254.09
20/06/2012,1255.88,1254.07,1248.41,1248.41
19/06/2012,1251.02,1248.39,1228.79,1230.56
18/06/2012,1238.63,1230.58,1221.46,1221.46
15/06/2012,1224.73,1221.44,1208.15,1208.15
14/06/2012,1209.83,1208.15,1199.25,1204.95
13/06/2012,1205.17,1204.97,1197.41,1197.43
12/06/2012,1202.5,1197.41,1193.5,1201.66
11/06/2012,1220.02,1201.7,1196.76,1203.49
8/06/2012,1219.36,1203.54,1198.85,1218.32
7/06/2012,1227,1218.29,1208.54,1208.59
6/06/2012,1212.29,1208.59,1177.33,1177.33
5/06/2012,1182.15,1177.26,1174.11,1174.2
4/06/2012,1182.35,1174.2,1169.1,1182.35
1/06/2012,1191.78,1182.35,1175.76,1190.09
31/05/2012,1197.98,1190.09,1183.84,1191.27
30/05/2012,1211.98,1191.27,1188.73,1210.89
29/05/2012,1218.89,1210.85,1202.59,1207.38
25/05/2012,1200.53,1195.5,1191.81,1195
24/05/2012,1198.68,1195,1182.54,1187.43
23/05/2012,1209.7,1187.41,1184.55,1209.7
22/05/2012,1213.47,1209.66,1202.26,1203.05
21/05/2012,1207.08,1203.05,1193.09,1193.33
18/05/2012,1212.27,1193.33,1188.29,1212.24
17/05/2012,1219.96,1212.26,1206.19,1215.62
16/05/2012,1227.71,1215.62,1202.3,1227.48
15/05/2012,1237.99,1227.48,1223.27,1235.07
14/05/2012,1249.53,1235.09,1230.98,1246.99
11/05/2012,1249.23,1247.01,1234.42,1248.25
10/05/2012,1252.7,1248.28,1241.34,1247.33
9/05/2012,1259.13,1247.33,1242.8,1256.66
8/05/2012,1266.85,1256.66,1254.62,1258.62
7/05/2012,1260.38,1258.56,1245.15,1260.03
4/05/2012,1273.43,1260.01,1258.97,1272.48
3/05/2012,1279.64,1272.43,1270.98,1273.95
2/05/2012,1280.82,1273.97,1271.54,1277.33
1/05/2012,1279.69,1276.59,1271.76,1271.82
30/04/2012,1282.72,1271.79,1270.04,1273.67
27/04/2012,1275.89,1273.65,1258.18,1263.06
26/04/2012,1266.84,1263.04,1257.6,1261.07
25/04/2012,1266.28,1261.1,1256.16,1256.48
24/04/2012,1255.69,1255.17,1237.49,1237.51
23/04/2012,1256.88,1237.49,1232.19,1254.49
20/04/2012,1254,1252.82,1239.57,1242.72
19/04/2012,1253.24,1242.74,1240.95,1249.62
18/04/2012,1252.48,1249.62,1239.46,1239.48
17/04/2012,1241.74,1239.48,1222.53,1226.76
16/04/2012,1231.59,1226.74,1223.02,1231.03
13/04/2012,1242.28,1231.03,1229.99,1233.63
12/04/2012,1236.15,1233.61,1222.3,1222.35
11/04/2012,1227.42,1222.38,1214.51,1227.42
10/04/2012,1231.73,1220.97,1219.91,1227.42
9/04/2012,1229.88,1227.42,1225.09,1225.63
5/04/2012,1227.94,1225.75,1217.46,1223.93
4/04/2012,1247.01,1223.93,1223.06,1245.96
3/04/2012,1257.57,1245.96,1238.03,1254.41
2/04/2012,1257.48,1254.35,1245.06,1245.44
30/03/2012,1247.32,1245.46,1232.72,1234.86
29/03/2012,1246.02,1234.86,1230.53,1237.98
28/03/2012,1254.23,1237.98,1235.97,1250.9
27/03/2012,1258.93,1250.9,1243.49,1243.54
26/03/2012,1245.62,1243.56,1228.07,1233.25
23/03/2012,1239.51,1233.23,1225.18,1232.73
22/03/2012,1249.26,1232.73,1228.79,1242.58
